latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
37.84,50,2935,473,1031,479,7.5,295200
37.84,44,3424,597,1358,597,6.0194,292300
37.83,40,4991,674,1616,654,7.5544,411500
37.84,30,2211,346,844,343,6.0666,311500
37.84,34,3038,490,1140,496,7.0548,325900
37.84,18,1617,210,533,194,11.6017,392600
37.84,35,2865,460,1072,443,7.4882,319300
37.83,34,5065,788,1627,766,6.8976,333300
37.83,28,1326,184,463,190,8.2049,335200
37.83,26,1589,223,542,211,8.401,351200
37.83,29,1791,271,661,269,6.8538,368900
37.82,32,1835,264,635,263,8.317,365900
37.82,37,1229,181,420,176,7.0175,366700
37.82,39,3770,534,1265,500,6.3302,362800
37.81,30,292,38,126,52,6.3624,483300
37.82,52,2375,333,813,350,7.0549,331400
37.81,45,2964,436,1067,426,6.7851,323500
37.8,50,2833,605,1260,552,2.8929,216700
37.8,38,2254,535,951,487,3.0812,233100
37.81,52,1389,212,510,224,5.2402,296400
37.81,52,1971,335,765,308,6.5217,273700
37.8,52,2183,465,1129,460,3.2632,227700
37.8,52,2286,464,1073,441,3.0298,199600
37.8,52,2721,541,1185,515,4.5428,239800
37.81,52,2024,339,756,340,4.072,270100
37.81,52,2944,536,1034,521,5.3509,302100
37.8,52,2033,486,787,459,3.1603,269500
37.81,52,1433,229,612,213,4.7708,314700
37.81,52,2927,402,1021,380,8.1564,390100
37.81,52,2315,292,861,258,8.8793,410300
37.81,52,2485,313,953,327,6.8591,352400
37.81,52,1490,238,634,256,6.0302,287300
37.81,52,2814,365,878,352,7.508,348700
37.81,52,2093,550,918,483,2.7477,243800
37.8,52,888,168,360,175,2.1944,211500
37.8,52,2087,510,1197,488,3.0149,218400
37.81,52,2513,502,1048,518,3.675,269900
37.81,46,3232,835,1373,747,3.225,218800
37.8,42,4120,1065,1715,1015,2.9345,225000
37.8,43,2364,792,1359,722,2.1429,250000
37.8,41,1471,469,1062,413,1.6121,171400
37.8,29,2468,864,1335,773,1.3929,193800
37.79,27,1632,492,1171,429,2.3173,125000
37.79,45,1786,526,1475,460,1.7772,97500
37.79,50,629,188,742,196,2.6458,125000
37.79,52,1339,391,1086,363,2.181,138800
37.8,36,1678,606,1645,543,2.2303,116700
37.8,43,2344,647,1710,644,1.6504,151800
37.8,52,996,228,731,228,2.2697,127000
37.8,52,1591,373,1118,347,2.1563,128600
37.8,52,1586,398,1006,335,2.1348,140600
37.8,47,2046,588,1213,554,2.6292,182700
37.8,52,1192,289,772,257,2.3833,146900
37.8,52,1803,420,1321,401,2.957,122800
37.8,49,2838,749,1487,677,2.5238,169300
37.8,52,783,184,488,186,1.9375,126600
37.8,51,1590,414,949,392,1.9028,127900
37.8,50,1746,480,1149,415,2.25,123500
37.8,52,1252,299,844,280,2.3929,111900
37.79,43,5963,1344,4367,1231,2.1917,112800
37.79,52,1783,395,1659,412,2.9357,107900
37.79,30,999,264,1011,263,1.8854,137500
37.79,39,1469,431,1464,389,2.1638,105500
37.79,47,1372,395,1237,303,2.125,95500
37.79,52,674,180,647,168,3.375,116100
37.79,43,1626,376,1284,357,2.2542,112200
37.79,51,175,43,228,55,2.1,75000
37.79,39,461,129,381,123,1.6,112500
37.79,52,902,237,846,227,3.625,125000
37.8,20,2373,779,1659,676,1.6929,115000
37.77,52,391,128,520,138,1.6471,95000
37.77,52,1137,301,866,259,2.59,96400
37.77,52,769,206,612,183,2.57,72000
37.78,52,472,146,415,126,2.6429,71300
37.78,52,862,215,994,213,3.0257,80800
37.78,50,1920,530,1525,477,1.4886,128800
37.78,43,1420,472,1506,438,1.9338,112500
37.78,52,986,258,1008,255,1.4844,119400
37.78,44,2340,825,2813,751,1.6009,118100
37.79,48,1696,396,1481,343,2.0375,122500
37.79,49,1175,217,859,219,2.293,106300
37.79,37,2343,574,1608,523,2.1494,132500
37.79,30,610,145,425,140,1.6198,122700
37.79,40,930,199,564,184,1.3281,113300
37.79,44,1487,314,961,272,3.5156,109500
37.79,52,3424,690,2273,685,3.9048,164700
37.79,52,762,190,600,195,3.0893,125000
37.79,46,2366,575,1647,527,2.6042,124700
37.79,49,1826,450,1201,424,2.5,136700
37.79,38,3049,711,2167,659,2.7969,141700
37.79,29,1640,376,939,340,2.8321,150000
37.79,47,1543,307,859,292,2.9583,138800
37.79,34,2364,557,1517,516,2.8365,139200
37.79,35,1745,409,1143,386,2.875,143800
37.8,39,2003,500,1109,464,3.0682,156500
37.8,39,2018,447,1221,446,3.0757,151000
37.8,43,3045,499,1115,455,4.9559,273000
37.8,52,1547,293,706,268,4.7721,217100
37.8,52,3519,711,1883,706,3.4861,187100
37.8,41,2070,354,804,340,5.1184,239600
37.8,48,1321,263,506,252,4.0977,229700
37.8,48,1694,259,610,238,4.744,257300
37.8,46,1938,341,768,332,4.2727,246900
37.79,50,968,195,462,184,2.9844,179900
37.79,40,1060,256,667,235,4.1739,169600
37.8,46,2041,405,1059,399,3.8487,203300
37.8,52,1813,271,637,277,4.0114,263400
37.79,45,2718,451,1106,454,4.6563,231800
37.79,28,3144,761,1737,669,2.9297,140500
37.79,35,1802,459,1009,390,2.3036,126000
37.79,49,882,195,737,210,2.6667,122000
37.79,44,1621,452,1354,491,2.619,134700
37.79,45,2115,533,1530,474,2.4167,139400
37.79,45,2021,528,1410,480,2.7788,115400
37.78,46,2239,508,1390,569,2.7352,137300
37.78,52,1477,300,1065,269,1.8472,137000
37.78,52,1056,224,792,245,2.6583,142600
37.78,49,898,244,779,245,3.0536,137500
37.78,44,2968,710,2269,610,2.3906,111700
37.78,43,1702,460,1227,407,1.7188,126800
37.78,47,881,248,753,241,2.625,111300
37.77,40,494,114,547,135,2.8015,114800
37.78,50,1776,473,1807,440,1.7276,102300
37.78,44,1678,514,1700,495,2.0801,131900
37.78,51,1637,463,1543,393,2.489,119100
37.76,52,1420,314,1085,300,1.7546,80600
37.77,52,591,173,353,137,4.0904,80600
37.77,52,745,153,473,149,2.6765,88800
37.77,49,2272,498,1621,483,2.4338,102400
37.77,46,1234,375,1183,354,2.3309,98700
37.77,43,1017,328,836,277,2.2604,100000
37.77,42,932,254,900,263,1.8039,92300
37.77,39,2689,597,1888,537,2.2562,94800
37.77,41,1547,415,1024,341,2.0562,102000
37.78,52,2300,443,1225,423,3.5398,158400
37.78,39,1752,399,1071,376,3.1167,121600
37.78,50,1867,403,1128,378,2.5401,129100
37.77,43,2430,502,1537,484,2.898,121400
37.78,44,1729,414,1240,393,2.3125,102800
37.78,52,1026,180,469,168,2.875,160000
37.77,52,2170,428,1086,425,3.3715,143900
37.77,52,2329,445,1144,417,3.5114,151200
37.78,52,2492,415,1109,375,4.3125,164400
37.78,52,2198,397,984,369,3.22,156500
37.78,33,142,31,575,47,3.875,225000
37.78,49,1183,205,496,209,5.2328,174200
37.78,52,1070,193,555,190,3.7262,166900
37.78,45,1766,332,869,327,4.5893,163500
37.79,39,617,95,236,106,5.2578,253000
37.79,41,1411,233,626,214,7.0875,240700
37.79,46,2109,387,922,329,3.9712,208100
37.79,47,1229,243,582,256,2.9514,198100
37.79,50,954,217,546,201,2.6667,172800
37.81,37,1643,262,620,266,5.4446,336700
37.8,34,1355,195,442,195,6.2838,318200
37.8,23,2317,336,955,328,6.7527,285800
37.77,24,2459,317,916,324,7.0712,293000
37.79,22,12842,2048,4985,1967,5.9849,371000
37.78,42,1524,260,651,267,3.6875,157300
37.77,30,3326,746,1704,703,2.875,135300
37.78,43,1985,440,1085,407,3.4205,136700
37.78,50,1642,322,713,284,3.2984,160700
37.78,49,893,177,468,181,3.875,140600
37.78,52,653,128,296,121,4.175,144000
37.77,47,1256,143,570,218,4.375,161900
37.77,48,977,194,446,180,4.7708,156300
37.77,45,2324,397,968,384,3.5739,176000
37.77,39,1583,349,857,316,3.0958,145800
37.77,39,1612,342,912,322,3.3958,141900
37.77,31,2424,533,1360,452,1.871,90700
37.76,41,1594,367,1074,355,1.9356,90600
37.76,47,2118,413,965,382,2.1842,107900
37.76,37,1575,358,933,320,2.2917,107000
37.76,38,1764,397,987,354,2.4333,98200
37.76,50,1187,261,907,246,1.9479,89500
37.76,52,754,175,447,165,3.9063,93800
37.76,49,2308,452,1299,451,1.8407,96700
37.77,27,909,236,396,157,2.0786,97500
37.77,42,1180,257,877,268,2.8125,97300
37.76,43,2018,408,1111,367,1.8913,91200
37.76,49,1368,282,790,269,1.7056,91400
37.77,52,2744,547,1479,554,2.2768,96200
37.77,51,2107,471,1173,438,3.2552,120100
37.77,52,1748,362,1029,366,2.0556,100000
37.76,52,2024,391,1030,350,2.4659,94700
37.76,47,1116,259,826,279,1.75,85700
37.77,41,2036,510,1412,454,2.0469,89300
37.77,45,1852,393,1132,349,2.7159,101400
37.76,41,921,207,522,159,1.2083,72500
37.76,45,995,238,630,237,1.925,74100
37.75,36,606,132,531,133,1.5809,70000
37.76,37,2680,736,1925,667,1.4097,84600
37.76,38,1493,370,1144,351,0.7683,81800
37.75,19,2207,565,1481,520,1.3194,81400
37.75,28,856,189,435,162,0.8012,81800
37.76,26,1293,297,984,303,1.9479,85800
37.74,36,847,212,567,159,1.1765,87100
37.74,42,541,154,380,123,2.3456,83500
37.73,44,1066,253,825,244,2.1538,79700
37.74,43,707,147,417,155,2.5139,83400
37.73,45,1528,291,801,287,1.2625,84700
37.73,42,909,215,646,198,2.9063,80000
37.73,43,1391,293,855,285,2.5192,76400
37.73,44,548,119,435,136,2.1111,79700
37.73,42,4074,874,2736,780,2.455,82400
37.74,41,1613,445,1481,414,2.4028,97700
37.74,47,463,134,327,137,2.15,97200
37.74,43,818,193,494,179,2.4776,101600
37.73,43,1473,371,1231,341,2.1587,86500
37.74,35,504,126,323,109,1.8438,90500
37.74,46,1026,226,749,225,3.0298,107600
37.74,46,769,183,693,178,2.25,84200
37.74,46,2103,391,1339,354,2.2467,88900
37.75,45,330,76,282,80,4.0469,80700
37.75,46,941,218,621,195,1.325,87100
37.75,38,992,676,732,259,1.6196,85100
37.75,45,990,261,901,260,2.1731,82000
37.75,36,1126,263,482,150,1.9167,82800
37.75,43,1036,233,652,213,2.069,84600
37.75,36,1047,214,651,166,1.712,82100
37.76,33,1280,307,999,286,2.5625,89300
37.75,43,1587,320,907,306,1.9821,98300
37.75,41,1257,271,828,230,2.5043,92300
37.75,44,1218,248,763,254,2.3281,88800
37.75,48,1751,390,935,349,1.4375,90000
37.76,45,2299,514,1437,484,2.5122,95500
37.75,38,2457,624,1516,482,1.5625,91700
37.75,47,998,211,597,185,3.1587,100400
37.76,40,1685,343,949,342,1.8426,94800
37.76,46,1827,307,881,302,4.6696,164300
37.76,36,2781,574,1438,519,2.4598,155500
37.76,39,1823,286,763,270,6.0749,196900
37.77,27,2229,365,1297,355,4.8304,279100
37.76,34,1513,231,545,211,5.5701,252800
37.76,26,3266,491,1222,533,5.37,275400
37.75,33,1809,261,808,219,6.86,250000
37.75,28,794,111,329,109,7.6923,329800
37.75,36,690,105,299,109,4.0313,195500
37.75,33,1334,200,579,202,6.8323,255900
37.75,30,414,54,137,50,4.975,311100
37.75,36,768,93,229,93,5.3602,330000
37.74,41,4400,666,1476,648,5,248900
37.75,46,954,161,429,154,2.925,142900
37.75,40,1445,256,849,255,3.8913,126300
37.75,44,1938,399,946,331,3.225,135800
37.74,41,856,178,571,191,3.1458,130600
37.75,24,1790,454,1137,386,2.537,107900
37.75,44,617,131,378,135,2.5568,111100
37.74,43,1383,275,853,272,3.5083,122000
37.74,49,1325,277,764,282,3.3125,118000
37.75,40,1227,294,928,261,1.8235,95200
37.75,35,667,140,406,133,3.8047,94300
37.74,34,1223,281,824,280,2.2917,92500
37.75,37,1379,287,835,259,2.4962,91800
37.74,43,1534,300,826,295,4.0417,109400
37.74,46,1029,181,567,211,3.4844,129500
37.74,52,771,147,355,144,4.1458,143400
37.74,47,824,223,533,166,2.625,98200
37.74,44,1097,239,609,215,2.0227,103100
37.9,49,1283,238,576,236,3.3333,276800
37.9,52,1604,263,594,286,5.338,270900
37.89,52,2248,422,870,377,3.4732,246200
37.9,38,2263,522,1027,509,3.5125,224200
37.89,52,1571,349,693,326,3.1375,229100
37.89,46,1520,402,815,375,2.8036,211600
37.9,15,5083,1212,2420,1146,4.5824,256100
37.89,36,1077,293,518,276,3.0208,206300
37.89,52,1248,283,620,275,4.0875,221300
37.89,42,1342,291,551,266,4.5268,207400
37.88,37,3061,930,2556,924,1.7375,350000
37.89,52,3171,698,1498,696,3.1795,218200
37.88,50,1211,261,523,227,3.8672,216700
37.89,52,979,175,374,153,5.1675,270600
37.89,52,2269,380,1004,371,5.1696,261400
37.88,52,1844,332,769,334,4.2614,261300
37.89,52,2178,421,940,423,5.0551,232200
37.9,42,1650,274,645,256,5.6228,375400
37.9,52,1927,279,705,288,7.8864,357300
37.9,52,2079,273,684,275,7.9556,374400
37.9,52,1803,240,572,236,6.174,358800
37.9,52,2041,270,671,253,6.9414,417500
37.89,52,3046,373,975,365,8.8342,430500
37.9,52,2318,328,779,312,7.1754,362900
37.9,52,2003,250,658,244,10.0825,397000
37.9,52,2261,328,819,335,4.9083,346800
37.89,52,1225,169,412,168,5.7912,327100
37.89,52,2315,408,835,369,4.5893,290100
37.89,52,2070,329,722,306,5.4171,292000
37.89,52,2616,473,1085,487,4.125,270900
37.89,52,2640,366,973,355,7.266,371100
37.89,52,1978,293,723,272,5.3989,335600
37.9,37,2220,335,903,362,7.8336,371300
37.89,41,1125,195,356,181,6.1593,344000
37.89,52,3078,494,1005,462,6.381,342200
37.89,52,3706,531,1205,504,6.6828,370900
37.89,37,3000,457,987,450,7.5385,350000
37.89,42,2863,460,1031,448,6.7138,368600
37.88,52,2551,417,894,404,6.2425,391800
37.88,52,2255,410,823,377,5.7979,415300
37.88,52,3360,648,1232,621,4.2813,284900
37.88,52,1693,391,669,367,3.5417,287500
37.88,44,2252,592,989,550,3.0132,272900
37.88,52,2495,491,1058,464,4.1429,259600
37.88,52,1193,200,506,207,4.1912,254500
37.88,52,1172,215,489,218,3.9167,235600
37.88,52,2159,424,824,388,3.8897,218400
37.88,48,2365,490,1034,475,3.1065,229200
37.88,46,1895,442,920,425,2.9926,192100
37.88,52,1650,395,841,380,3.556,179300
37.88,45,453,146,749,137,1.475,187500
37.88,52,409,97,208,98,1.6971,138800
37.87,10,503,118,228,100,2.1705,150000
37.86,50,499,127,287,128,2.75,140600
37.85,52,477,119,218,106,2.5682,120000
37.88,46,1647,376,854,355,2.9,144800
37.87,52,3123,749,1695,684,2.2208,144800
37.88,52,957,188,403,172,3.2344,245500
37.87,52,589,132,288,131,3.5156,200000
37.87,49,2026,548,963,521,1.9805,173700
37.87,50,1829,536,1129,516,2.6684,185600
37.87,52,895,198,386,204,3.875,182600
37.88,52,1909,416,811,406,3.006,227900
37.87,46,3022,696,1293,675,2.543,220700
37.87,46,1777,446,805,431,2.8676,212000
37.88,52,2803,930,1372,876,2.1907,271400
37.87,30,1465,439,862,425,1.7778,268800
37.88,37,2619,682,1152,616,2.52,277800
37.88,52,1149,255,483,249,4.2788,332500
37.88,52,2363,604,1558,573,2.944,338900
37.88,52,2604,837,1798,769,1.725,287500
37.87,41,685,141,266,123,5.2289,384600
37.87,42,1756,465,2184,422,2.5562,371400
37.87,52,1204,460,2016,477,0.949,350000
37.87,52,609,236,1349,250,1.1696,500001
37.87,52,1087,371,3337,350,1.4012,175000
37.87,52,2773,998,1721,949,1.1859,241700
37.87,35,3218,1108,1675,1000,1.7464,216700
37.87,49,1350,368,707,350,2.8846,211300
37.87,52,3084,698,1424,694,2.7372,210200
37.86,52,938,195,393,189,3.8594,196400
37.87,52,1813,353,828,339,3.5625,191700
37.87,52,1233,300,571,292,2.2788,182300
37.87,44,2539,755,1382,713,2.537,175000
37.87,46,1267,324,792,321,2.525,165900
37.86,52,1665,404,815,372,1.9946,156900
37.86,52,1659,367,788,346,2.8214,164300
37.87,52,2225,460,1145,430,2.6165,150000
37.86,50,2485,607,1354,563,1.9483,150500
37.86,52,2031,450,958,445,1.9327,169900
37.86,49,2932,668,1361,608,1.9798,147400
37.85,52,2246,472,1005,449,2.4167,152700
37.86,49,2052,435,924,414,2.5417,182700
37.86,52,1999,417,780,358,3.3906,179300
37.86,52,3007,691,1582,636,2.5652,157700
37.86,41,2214,550,1213,568,2.2845,153100
37.86,52,1088,305,486,267,2.6071,250000
37.86,52,834,186,494,175,3.15,206300
37.86,52,1769,372,849,365,2.6914,218800
37.86,52,2307,583,1127,548,1.8447,198200
37.86,35,5161,1744,3276,1742,1.6307,253600
37.86,52,3497,832,1493,794,2.9044,257400
37.86,52,3774,744,1461,679,2.9405,289500
37.86,52,2888,604,1253,538,3.3893,241700
37.86,48,2153,517,1656,459,3.0417,489600
37.86,52,1389,191,514,202,7.0897,446200
37.86,52,1709,318,719,295,5.0463,456300
37.86,52,1587,444,878,449,1.7652,336800
37.86,52,1668,225,517,214,7.8521,500001
37.85,52,3726,474,1366,496,9.3959,500001
37.86,52,4048,663,1316,590,5.3794,376900
37.85,52,3618,768,1508,755,3.2619,309600
37.85,52,4076,920,1800,815,2.7054,182300
37.85,47,2077,400,719,326,2.2431,172700
37.85,50,1279,300,675,255,1.9028,150800
37.85,52,1974,426,875,363,1.5817,153600
37.85,52,335,83,152,77,2.2841,106300
37.85,47,1375,307,843,319,1.3785,142300
37.85,52,610,145,281,132,2.9018,119400
37.85,44,1025,198,506,204,1.73,147900
37.85,48,2063,484,1054,466,2.2625,132900
37.84,35,1872,419,1017,414,2.2106,132500
37.83,52,3108,813,1623,765,2.6997,126900
37.84,14,7355,2408,3100,2051,4.0018,143800
37.83,52,2990,379,947,361,7.8772,500001
37.82,39,2492,310,808,315,11.8603,500001
37.82,42,2991,335,1018,335,13.499,500001
37.82,52,3242,366,1001,352,12.2138,500001
37.82,52,3051,381,1005,369,8.1872,466100
37.82,52,3494,396,1192,383,12.3804,500001
37.83,52,1757,246,585,227,5.8948,457800
37.83,52,2449,312,916,316,8.1194,471600
37.82,52,1611,203,556,179,8.7477,500001
37.82,52,3665,517,1470,520,6.155,398600
37.82,52,2474,403,1104,398,5.883,340700
37.76,52,3037,516,1242,518,5.2128,289900
37.76,52,2269,323,805,321,4.7188,335300
37.76,52,1316,177,378,162,5.2915,333000
37.77,52,1153,235,481,223,2.6411,241000
37.77,52,772,179,409,160,3.3214,189600
37.77,52,1711,386,885,373,3.6417,206300
37.77,52,2650,566,1468,567,3.0161,215700
37.77,52,1038,220,482,215,3.1771,210200
37.77,52,1527,320,825,264,3.4531,208800
37.77,52,859,157,429,158,4.3098,197900
37.78,52,970,217,528,208,3.3438,201300
37.78,52,1045,239,496,216,2.9213,190800
37.78,52,1408,280,718,265,2.6806,207900
37.78,52,1222,264,630,265,3.7708,215300
37.78,45,1169,263,723,286,3.9444,212900
37.78,13,2020,535,959,486,5.2601,292700
37.79,30,4145,869,3668,855,2.5444,275000
37.77,42,2038,368,2037,355,2.6447,200000
37.78,29,5154,122,3741,1273,2.5762,173400
37.78,42,1241,309,821,300,1.9427,102200
37.77,52,1468,363,870,347,2.9688,220800
37.77,27,3997,1073,1901,966,3.75,242800
37.76,18,2873,763,1243,663,5.1702,265400
37.78,50,1487,306,730,327,2.5139,219000
37.77,52,1670,350,793,299,2.9732,282100
37.77,52,2252,388,1033,434,5.5337,372000
37.77,52,1731,377,872,363,4.1667,225800
37.77,52,1710,481,849,457,2.7115,220800
37.77,52,2388,559,1121,518,3.3269,234500
37.77,52,2156,458,872,445,3.2685,254200
37.77,52,1565,315,637,297,4.7778,351800
37.77,52,1704,371,663,340,4.226,275000
37.77,52,1210,168,411,172,3.3571,405400
37.77,52,2097,444,915,413,2.9899,228100
37.77,52,1848,479,921,477,2.875,234000
37.77,43,955,284,585,266,2.3882,162500
37.77,43,4329,1110,2086,1053,2.975,243400
37.76,52,3011,542,1303,535,5.1039,273800
37.76,52,1049,185,374,176,4.1458,248500
37.76,52,2504,516,979,472,3.4762,244000
37.76,52,1846,471,827,446,2.6833,240900
37.76,52,1705,246,658,253,5.75,306300
37.75,50,1542,289,654,268,3.9632,240000
37.75,45,891,32,384,146,4.9489,247100
37.75,27,4051,753,1499,797,4.8711,286600
37.76,52,2646,581,1128,522,3.0718,266700
37.76,49,2428,525,1110,492,3.6719,229800
37.76,52,2567,436,1119,415,4.6094,229300
37.73,21,7031,1249,2930,1235,4.5213,228400
37.74,25,1914,365,897,390,4.4562,206200
37.72,5,18634,2885,7427,2718,7.611,350700
37.73,31,5785,1379,2973,1312,3.2689,231000
37.76,52,2876,648,1340,632,3.567,252900
37.74,28,6909,1554,2974,1484,3.6875,353900
37.77,23,5679,1270,2690,1151,4.7695,291700
37.75,20,1156,365,583,326,3.1972,100000
37.77,12,14316,2045,5781,2007,7.2634,341600
37.73,5,3596,467,1738,512,7.0568,412500
37.71,36,3541,570,1478,529,4.635,248600
37.71,40,1808,302,746,270,5.3015,254900
37.71,36,2879,480,1235,455,4.9801,241500
37.72,26,3204,477,1411,484,5.4834,295200
37.72,31,3866,531,1368,521,6.187,340400
37.72,32,2476,368,1048,367,5.6194,274700
37.71,35,2211,350,1004,365,5.4639,238600
37.71,35,2663,387,1086,367,5.1498,266400
37.72,30,2599,366,922,350,5.8382,330200
37.71,36,4569,824,1950,819,4.65,206800
37.7,25,2973,622,1413,595,4.3819,209200
37.69,30,3115,625,1444,568,3.7222,195800
37.71,31,1843,282,749,269,5.2855,253500
37.7,31,2053,336,867,329,4.3375,241800
37.71,27,6740,1073,2723,1035,5.2131,252500
37.7,30,1751,269,731,263,6.005,263900
37.71,38,1663,295,781,301,5.0519,227000
37.71,38,3716,657,1784,652,4.8237,220900
37.7,32,2718,447,1156,410,5.2497,259300
37.7,39,1420,272,645,277,4.125,232500
37.7,37,1893,310,821,315,4.6005,231600
37.7,33,3906,790,1912,770,3.5187,209400
37.7,32,3400,736,1487,694,3,223200
37.7,25,3402,758,1645,710,3.4934,209900
